match,home_team,away_team,market,player_name,line,over_price,agency
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Jack Wildermuth,0.5,1.3,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Xavier Bartlett,0.5,1.3,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Thomas Balkin,0.5,1.42,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Matt Kuhnemann,0.5,1.45,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Sean Abbott,0.5,1.28,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Kane Richardson,0.5,1.33,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Ben Dwarshuis,0.5,1.38,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Jack Edwards,0.5,1.48,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Xavier Bartlett,1.5,2.1,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Jack Wildermuth,1.5,2.6,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Thomas Balkin,1.5,3.25,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Matt Kuhnemann,1.5,3.4,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Ben Dwarshuis,1.5,2.25,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Sean Abbott,1.5,2.5,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Kane Richardson,1.5,2.75,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Jack Edwards,1.5,2.9,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Xavier Bartlett,2.5,5.5,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Jack Wildermuth,2.5,7.5,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Thomas Balkin,2.5,11,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Matt Kuhnemann,2.5,11,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Ben Dwarshuis,2.5,6,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Sean Abbott,2.5,6.5,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Jack Edwards,2.5,7,TAB
Sydney Sixers v Brisbane Heat,Sydney Sixers,Brisbane Heat,Player Wickets,Kane Richardson,2.5,8.5,TAB
Adelaide v Sydney Thunder,Adelaide,Sydney Thunder,Player Wickets,Tabraiz Shamsi,0.5,1.2,TAB
Adelaide v Sydney Thunder,Adelaide,Sydney Thunder,Player Wickets,Luke Wood,0.5,1.25,TAB
Adelaide v Sydney Thunder,Adelaide,Sydney Thunder,Player Wickets,Lloyd Pope,0.5,1.3,TAB
