match,market,home_team,away_team,player_name,player_team,opposition_team,price,agency
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Isuru Udana,Galle Marvels,Jaffna Kings,4,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Maheesh Theekshana,Galle Marvels,Jaffna Kings,4.2,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Zahoor Khan,Galle Marvels,Jaffna Kings,4.2,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Dwaine Pretorius,Galle Marvels,Jaffna Kings,4.5,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Kavindu Nadeeshan,Galle Marvels,Jaffna Kings,4.6,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Prabath Jayasuriya,Galle Marvels,Jaffna Kings,4.8,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Sahan Arachchige,Galle Marvels,Jaffna Kings,4.8,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Jeffrey Vandersay,Galle Marvels,Jaffna Kings,5.5,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Janith Liyanage,Galle Marvels,Jaffna Kings,8,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Tabraiz Shamsi,Jaffna Kings,Galle Marvels,3.75,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Dhananjaya de Silva,Jaffna Kings,Galle Marvels,4.4,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Jason Behrendorff,Jaffna Kings,Galle Marvels,4.4,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Asitha Fernando,Jaffna Kings,Galle Marvels,4.6,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Pramod Madushan,Jaffna Kings,Galle Marvels,4.6,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Lahiru Samarakoon,Jaffna Kings,Galle Marvels,4.8,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Azmatullah Omarzai,Jaffna Kings,Galle Marvels,5,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Eshan Malinga,Jaffna Kings,Galle Marvels,5.5,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Fabian Allen,Jaffna Kings,Galle Marvels,5.5,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Vijayakanth Viyaskanth,Jaffna Kings,Galle Marvels,5.75,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Wanuja Sahan,Jaffna Kings,Galle Marvels,7,TopSport
Galle Marvels v Jaffna Kings,Top Team Wicket Taker,Galle Marvels,Jaffna Kings,Charith Asalanka,Jaffna Kings,Galle Marvels,8.5,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Shadab Khan,Colombo Strikers,Kandy Falcons,3.25,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Matheesha Pathirana,Colombo Strikers,Kandy Falcons,4.2,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Binura Fernando,Colombo Strikers,Kandy Falcons,4.4,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Taskin Ahmed,Colombo Strikers,Kandy Falcons,4.4,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Dunith Wellalage,Colombo Strikers,Kandy Falcons,4.8,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Garuka Sanketh,Colombo Strikers,Kandy Falcons,5,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Isitha Wijesundera,Colombo Strikers,Kandy Falcons,5,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Thisara Perera,Colombo Strikers,Kandy Falcons,6.5,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Glenn Phillips,Colombo Strikers,Kandy Falcons,6.75,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Chamika Karunaratne,Colombo Strikers,Kandy Falcons,8.25,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Wanindu Hasaranga,Kandy Falcons,Colombo Strikers,4,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Dasun Shanaka,Kandy Falcons,Colombo Strikers,4.2,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Dushmantha Chameera,Kandy Falcons,Colombo Strikers,4.5,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Shoriful Islam,Kandy Falcons,Colombo Strikers,4.6,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Chaturanga de Silva,Kandy Falcons,Colombo Strikers,4.8,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Kasun Rajitha,Kandy Falcons,Colombo Strikers,4.8,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Mohammad Hasnain,Kandy Falcons,Colombo Strikers,5,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Lakshan Sandakan,Kandy Falcons,Colombo Strikers,5.75,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Angelo Mathews,Kandy Falcons,Colombo Strikers,6,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Kavindu Pathiratne,Kandy Falcons,Colombo Strikers,6,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Agha Salman,Kandy Falcons,Colombo Strikers,6.5,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Chamath Gomez,Kandy Falcons,Colombo Strikers,6.5,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Ramesh Mendis,Kandy Falcons,Colombo Strikers,6.5,TopSport
Colombo Strikers v Kandy Falcons,Top Team Wicket Taker,Colombo Strikers,Kandy Falcons,Kamindu Mendis,Kandy Falcons,Colombo Strikers,9,TopSport
